timestamp,frame_id,event_type,details
1760444856.9631338,1013,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444857.1157992,1014,low_situational_awareness,"{""sa_score"": 0.18594976146262937}"
1760444857.25843,1015,low_situational_awareness,"{""sa_score"": 0.18955582117792083}"
1760444857.4102895,1016,low_situational_awareness,"{""sa_score"": 0.20005557266197876}"
1760444857.5604541,1017,low_situational_awareness,"{""sa_score"": 0.20281858892412752}"
1760444857.5604541,1017,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444857.7037816,1018,low_situational_awareness,"{""sa_score"": 0.20006238177595764}"
1760444857.8554819,1019,low_situational_awareness,"{""sa_score"": 0.19835143079962086}"
1760444857.8554819,1019,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444857.9932196,1020,low_situational_awareness,"{""sa_score"": 0.189952428184829}"
1760444858.1385715,1021,low_situational_awareness,"{""sa_score"": 0.19188296173388308}"
1760444858.2804253,1022,low_situational_awareness,"{""sa_score"": 0.19332237820350326}"
1760444858.4369895,1023,low_situational_awareness,"{""sa_score"": 0.1906767779839036}"
1760444858.4369895,1023,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444858.589375,1024,low_situational_awareness,"{""sa_score"": 0.1907082959675785}"
1760444858.7393546,1025,low_situational_awareness,"{""sa_score"": 0.19068294986848713}"
1760444858.8980997,1026,low_situational_awareness,"{""sa_score"": 0.1909736562370931}"
1760444859.0607986,1027,low_situational_awareness,"{""sa_score"": 0.21625374480756948}"
1760444859.2109797,1028,low_situational_awareness,"{""sa_score"": 0.2685216472468696}"
1760444859.3548458,1029,low_situational_awareness,"{""sa_score"": 0.2690012726581978}"
1760444859.5039325,1030,low_situational_awareness,"{""sa_score"": 0.25926181258976116}"
1760444859.6400461,1031,low_situational_awareness,"{""sa_score"": 0.27338097670652545}"
1760444859.7894626,1032,low_situational_awareness,"{""sa_score"": 0.27600522592151666}"
1760444859.9330306,1033,low_situational_awareness,"{""sa_score"": 0.2716474486928311}"
1760444859.9330306,1033,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444860.0771697,1034,low_situational_awareness,"{""sa_score"": 0.2653109791342545}"
1760444860.0771697,1034,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444860.2200778,1035,low_situational_awareness,"{""sa_score"": 0.26418656046223643}"
1760444860.2200778,1035,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444860.3622653,1036,low_situational_awareness,"{""sa_score"": 0.26711996759150747}"
1760444860.5171542,1037,low_situational_awareness,"{""sa_score"": 0.26958192547822635}"
1760444860.665529,1038,low_situational_awareness,"{""sa_score"": 0.21647242833425154}"
1760444860.797931,1039,low_situational_awareness,"{""sa_score"": 0.2690187439842178}"
1760444860.9399738,1040,low_situational_awareness,"{""sa_score"": 0.27766169482144853}"
1760444861.0822113,1041,low_situational_awareness,"{""sa_score"": 0.27968996141277813}"
1760444861.213897,1042,low_situational_awareness,"{""sa_score"": 0.27878634950651593}"
1760444861.3628929,1043,low_situational_awareness,"{""sa_score"": 0.2729883571793693}"
1760444861.497299,1044,low_situational_awareness,"{""sa_score"": 0.275742612412762}"
1760444861.6407728,1045,low_situational_awareness,"{""sa_score"": 0.270978956259759}"
1760444861.6407728,1045,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444861.774279,1046,low_situational_awareness,"{""sa_score"": 0.2673076833424219}"
1760444861.9148865,1047,low_situational_awareness,"{""sa_score"": 0.27068243770423933}"
1760444862.0586197,1048,low_situational_awareness,"{""sa_score"": 0.27499351407059613}"
1760444862.1943717,1049,low_situational_awareness,"{""sa_score"": 0.27834994377596334}"
1760444862.3306382,1050,low_situational_awareness,"{""sa_score"": 0.2844565491773916}"
1760444862.3306382,1050,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444862.4698453,1051,low_situational_awareness,"{""sa_score"": 0.2886898877134674}"
1760444862.7517695,1053,low_situational_awareness,"{""sa_score"": 0.2877350514742303}"
1760444862.8974464,1054,low_situational_awareness,"{""sa_score"": 0.29683379434621554}"
1760444863.0518272,1055,low_situational_awareness,"{""sa_score"": 0.2996659434163886}"
1760444863.3365529,1057,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444864.0804558,1062,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444864.2311711,1063,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444864.527286,1065,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444864.6750646,1066,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444864.8191872,1067,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444864.9607456,1068,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444865.1062925,1069,low_situational_awareness,"{""sa_score"": 0.2328391484219793}"
1760444865.1062925,1069,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444865.2644963,1070,low_situational_awareness,"{""sa_score"": 0.22702483970924656}"
1760444865.2644963,1070,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444865.4091642,1071,low_situational_awareness,"{""sa_score"": 0.2219672245741464}"
1760444865.4091642,1071,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444865.5538049,1072,low_situational_awareness,"{""sa_score"": 0.22212974158121523}"
1760444865.5538049,1072,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444865.7061856,1073,low_situational_awareness,"{""sa_score"": 0.2273066999534587}"
1760444865.7061856,1073,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444865.8472183,1074,low_situational_awareness,"{""sa_score"": 0.2273223700608114}"
1760444865.8472183,1074,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444866.004776,1075,low_situational_awareness,"{""sa_score"": 0.22216534860220336}"
1760444866.004776,1075,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444866.14255,1076,low_situational_awareness,"{""sa_score"": 0.22664472692355772}"
1760444866.14255,1076,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
1760444866.296303,1077,low_situational_awareness,"{""sa_score"": 0.23058554824977862}"
1760444866.296303,1077,attention_out_of_zone,"{""zone"": ""out_of_zone""}"
