metric,value
session_id,session_20251014_092500
participant_id,
scenario_type,
duration_seconds,168.2772901058197
total_frames,1000
total_sa_analyses,500
total_events,100
sa_average_sa_score,0.22389509520075956
sa_min_sa_score,0.125
sa_max_sa_score,0.37105302406086427
sa_std_sa_score,0.05176634100016362
zone_unknown_count,143
zone_out_of_zone_count,238
zone_road_count,115
zone_mirrors_count,2
zone_instruments_count,2
event_attention_out_of_zone_count,35
event_low_situational_awareness_count,65
